,O,D,f,r,tol
0,POINT (902649.0876362298 6277356.692829548),POINT (898439.650539312 6274579.906149212),0.0007473176514722692,10000.0,0.2
1,POINT (909056.6271761607 6289906.0910084685),POINT (912489.8772276887 6292340.683360806),0.003737300915646571,10000.0,0.2
2,POINT (905415.4943084295 6296875.21763583),POINT (896314.5658771144 6300311.352963234),0.0007555407577866506,10000.0,0.2
3,POINT (905483.4232736556 6293325.739205781),POINT (910611.7697638413 6272038.177946698),0.00202548259671052,10000.0,0.2
4,POINT (912699.3039921655 6293495.158905281),POINT (909213.7240155893 6295925.320024296),0.0035558220677199925,10000.0,0.2
5,POINT (892564.8896878329 6286773.39260974),POINT (895535.468959396 6298771.650415584),0.000777276122762471,10000.0,0.2
6,POINT (900005.03586794 6274661.5883785505),POINT (898404.8276076082 6275177.909034025),0.001399478046692421,10000.0,0.2
7,POINT (911207.2433086757 6297002.802162459),POINT (911886.8198510951 6296639.424052582),0.0025269565921416997,10000.0,0.2
8,POINT (910524.8642441947 6272766.251493294),POINT (907963.8216032734 6271456.974043587),0.0014779406403046028,10000.0,0.2
9,POINT (911539.8653234541 6299260.515425997),POINT (910504.7963104632 6297511.995462563),0.0005674925545487043,10000.0,0.2
10,POINT (910868.0212704574 6281056.837346048),POINT (910610.4368470033 6272035.746622388),0.0015540360800298041,10000.0,0.2
11,POINT (912180.3902193315 6274828.16627771),POINT (911015.7902527938 6275331.80545302),0.0012434167858048628,10000.0,0.2
12,POINT (902470.3081896487 6268512.628149881),POINT (899110.706709854 6271875.050048709),0.00011423463135966151,10000.0,0.2
13,POINT (911232.322757186 6277406.033527416),POINT (911288.0683275198 6280084.6741186045),0.0013563990648789313,10000.0,0.2
14,POINT (904486.4045779242 6285522.20639891),POINT (913084.2279289297 6278411.998779155),0.001710800207810631,10000.0,0.2
15,POINT (903969.9062420195 6290748.715902278),POINT (897498.532044591 6297788.456536131),0.0031188662370838292,10000.0,0.2
16,POINT (909579.9791490023 6293050.798542071),POINT (909466.9063001061 6292219.940238817),0.004452935122970129,10000.0,0.2
17,POINT (896573.1050320052 6301670.9299084935),POINT (898851.7068249818 6299527.82405046),0.0009062658442581494,10000.0,0.2
18,POINT (908192.1960856981 6292654.8860887885),POINT (896103.0896477078 6284125.514526371),0.004077307779714157,10000.0,0.2
19,POINT (899211.3457402593 6294739.273211801),POINT (898349.3874488242 6278482.090210427),0.0005753833894382005,10000.0,0.2
20,POINT (904233.7618772927 6290626.090407405),POINT (898129.2643299974 6288173.910978818),0.0032004340489873483,10000.0,0.2
21,POINT (913235.8134910475 6293014.570531627),POINT (908147.6687061172 6292829.552205041),0.002940022390928084,10000.0,0.2
22,POINT (902233.4833723719 6275983.594230656),POINT (914339.7323701832 6296622.183499052),0.0007849116575977713,10000.0,0.2
23,POINT (910874.1821501199 6295945.800505584),POINT (914411.0753907978 6296687.30662637),0.003308654835948671,10000.0,0.2
24,POINT (897849.4089189179 6270340.495950441),POINT (898434.0446929602 6278406.44423108),0.0005285406225526895,10000.0,0.2
25,POINT (913089.1367645897 6288581.466979554),POINT (910005.2838566584 6286799.624155037),0.0013986687115239104,10000.0,0.2
26,POINT (905035.0795249976 6291180.781980283),POINT (914849.280283072 6292250.931181461),0.0034833199009839397,10000.0,0.2
27,POINT (909943.0475285114 6284461.600678597),POINT (904902.7273365802 6291672.078948754),0.0012930805288255797,10000.0,0.2
28,POINT (910585.1565171911 6272370.880732829),POINT (903698.7233712778 6282143.22448379),0.0013793952679217723,10000.0,0.2
29,POINT (912131.6623571231 6289678.517692877),POINT (915164.7740575069 6287321.816312231),0.002451776463918934,10000.0,0.2
30,POINT (904416.403459922 6292895.7531213425),POINT (910583.664045722 6287801.74040392),0.0024493773775746495,10000.0,0.2
31,POINT (910791.3916384712 6293895.947758552),POINT (912243.1005256628 6293308.283088651),0.004352330513093689,10000.0,0.2
32,POINT (909405.2411883165 6293107.05939183),POINT (911166.8995387065 6292139.708643304),0.004438356600852695,10000.0,0.2
33,POINT (911452.9076492798 6289425.768221812),POINT (911190.1077006573 6288550.3702713605),0.0026123538650913553,10000.0,0.2
34,POINT (912127.7109513854 6280525.200790893),POINT (912358.5266981918 6280026.113696951),0.0015979905790409132,10000.0,0.2
35,POINT (909702.5925874938 6288188.9019129705),POINT (906290.02446195 6289664.269252461),0.0024019149009551002,10000.0,0.2
36,POINT (902734.6055686874 6302489.887585316),POINT (902037.8298628338 6299617.328700771),0.00040663795020176146,10000.0,0.2
37,POINT (909605.8794994539 6280605.186127069),POINT (911809.2512826091 6280586.314535148),0.0014410722021724052,10000.0,0.2
38,POINT (901535.7738357864 6295896.77108928),POINT (910540.0598866357 6293726.836554992),0.0005625113960185768,10000.0,0.2
39,POINT (903809.4972733315 6290130.371663232),POINT (903962.1509298815 6289408.126013266),0.0026882525284830185,10000.0,0.2
40,POINT (905975.5448183448 6291712.388201506),POINT (915990.7719059372 6284382.729572541),0.0032957321537065622,10000.0,0.2
41,POINT (897224.6646253599 6299718.556493746),POINT (898457.009025992 6301627.95844184),0.0010757041470635838,10000.0,0.2
42,POINT (911803.6171454575 6292780.256453447),POINT (914161.8636407705 6294088.004207589),0.003674642636527637,10000.0,0.2
43,POINT (900868.2214285594 6286697.474851866),POINT (897132.1060126194 6286540.554641951),0.0006679902136293974,10000.0,0.2
44,POINT (904069.5224215084 6294554.348573673),POINT (903626.3462191909 6295151.387719952),0.001186922328904906,10000.0,0.2
45,POINT (912050.5330466718 6271712.237258611),POINT (910594.9470096177 6272894.643135703),0.0006245714269207107,10000.0,0.2
46,POINT (907296.390397849 6281091.801590006),POINT (907324.6453505488 6281158.899945705),0.001107453834106375,10000.0,0.2
47,POINT (915550.6713899872 6297212.074422585),POINT (909856.5452450707 6296777.761502779),0.001798924383728457,10000.0,0.2
48,POINT (907400.1662326405 6280048.215216675),POINT (901117.3907083541 6284232.338403931),0.0010188584930616849,10000.0,0.2
49,POINT (896046.3691613858 6301645.135145639),POINT (896676.42524143 6301140.251615955),0.0007958473674774629,10000.0,0.2
50,POINT (911975.6545148315 6296678.948814157),POINT (911354.9372748343 6296243.661009172),0.0031959400573005423,10000.0,0.2
51,POINT (899066.4638423864 6281699.836805837),POINT (901334.8447709489 6286821.464397607),0.0004872221008488997,10000.0,0.2
52,POINT (908891.2647576563 6282079.577899408),POINT (909391.0881784318 6293193.67401164),0.0017880182186357809,10000.0,0.2
53,POINT (907666.1601422124 6283737.044988576),POINT (901377.7930602592 6282670.562633729),0.001528794803027097,10000.0,0.2
54,POINT (912471.3711417492 6296906.211216366),POINT (911649.4089367159 6296910.532996346),0.0029634037944305802,10000.0,0.2
55,POINT (912853.4552490329 6278666.232885823),POINT (910947.2339883712 6276170.200802804),0.001153136794708155,10000.0,0.2
56,POINT (902780.66575049 6284863.93700638),POINT (902526.8563334947 6283138.7736082915),0.0014760265478723892,10000.0,0.2
57,POINT (898940.9901785213 6275007.316407885),POINT (901140.7006321356 6276403.722977727),0.0014908303708713127,10000.0,0.2
58,POINT (904354.9462743273 6286570.350848947),POINT (901583.1430148359 6278968.258012762),0.0017786897789363102,10000.0,0.2
59,POINT (908833.7172964126 6270184.186145082),POINT (901498.3817951867 6288170.551767176),0.0004921674024625336,10000.0,0.2
60,POINT (908396.466761884 6287192.297937058),POINT (908043.1010293046 6286303.62355308),0.0018064473249789243,10000.0,0.2
61,POINT (912741.5783149374 6295087.2966385),POINT (912520.049046856 6293720.271301596),0.003984816290166512,10000.0,0.2
