,x,y
94,878956.9114323556,6284738.629651795
95,878956.9114323556,6285549.597729396
96,878956.9114323556,6286360.565806997
154,879767.8795099565,6284738.629651795
155,879767.8795099565,6285549.597729396
156,879767.8795099565,6286360.565806997
157,879767.8795099565,6287171.533884598
214,880578.8475875573,6284738.629651795
215,880578.8475875573,6285549.597729396
216,880578.8475875573,6286360.565806997
217,880578.8475875573,6287171.533884598
273,881389.8156651581,6283927.661574194
274,881389.8156651581,6284738.629651795
275,881389.8156651581,6285549.597729396
276,881389.8156651581,6286360.565806997
277,881389.8156651581,6287171.533884598
332,882200.7837427589,6283116.693496593
333,882200.7837427589,6283927.661574194
334,882200.7837427589,6284738.629651795
335,882200.7837427589,6285549.597729396
336,882200.7837427589,6286360.565806997
337,882200.7837427589,6287171.533884598
391,883011.7518203597,6282305.725418992
392,883011.7518203597,6283116.693496593
393,883011.7518203597,6283927.661574194
394,883011.7518203597,6284738.629651795
395,883011.7518203597,6285549.597729396
396,883011.7518203597,6286360.565806997
397,883011.7518203597,6287171.533884598
451,883822.7198979605,6282305.725418992
452,883822.7198979605,6283116.693496593
453,883822.7198979605,6283927.661574194
454,883822.7198979605,6284738.629651795
455,883822.7198979605,6285549.597729396
456,883822.7198979605,6286360.565806997
457,883822.7198979605,6287171.533884598
511,884633.6879755614,6282305.725418992
512,884633.6879755614,6283116.693496593
513,884633.6879755614,6283927.661574194
514,884633.6879755614,6284738.629651795
515,884633.6879755614,6285549.597729396
516,884633.6879755614,6286360.565806997
517,884633.6879755614,6287171.533884598
570,885444.6560531622,6281494.757341391
571,885444.6560531622,6282305.725418992
572,885444.6560531622,6283116.693496593
573,885444.6560531622,6283927.661574194
574,885444.6560531622,6284738.629651795
575,885444.6560531622,6285549.597729396
576,885444.6560531622,6286360.565806997
577,885444.6560531622,6287171.533884598
631,886255.624130763,6282305.725418992
632,886255.624130763,6283116.693496593
633,886255.624130763,6283927.661574194
634,886255.624130763,6284738.629651795
635,886255.624130763,6285549.597729396
636,886255.624130763,6286360.565806997
637,886255.624130763,6287171.533884598
638,886255.624130763,6287982.501962199
661,887066.5922083638,6257976.683090964
662,887066.5922083638,6258787.651168565
691,887066.5922083638,6282305.725418992
692,887066.5922083638,6283116.693496593
693,887066.5922083638,6283927.661574194
694,887066.5922083638,6284738.629651795
695,887066.5922083638,6285549.597729396
696,887066.5922083638,6286360.565806997
697,887066.5922083638,6287171.533884598
698,887066.5922083638,6287982.501962199
699,887066.5922083638,6288793.4700398
722,887877.5602859646,6258787.651168565
723,887877.5602859646,6259598.619246166
724,887877.5602859646,6260409.587323767
750,887877.5602859646,6281494.757341391
751,887877.5602859646,6282305.725418992
752,887877.5602859646,6283116.693496593
753,887877.5602859646,6283927.661574194
754,887877.5602859646,6284738.629651795
755,887877.5602859646,6285549.597729396
756,887877.5602859646,6286360.565806997
757,887877.5602859646,6287171.533884598
758,887877.5602859646,6287982.501962199
759,887877.5602859646,6288793.4700398
783,888688.5283635654,6259598.619246166
784,888688.5283635654,6260409.587323767
785,888688.5283635654,6261220.555401368
809,888688.5283635654,6280683.7892637905
811,888688.5283635654,6282305.725418992
812,888688.5283635654,6283116.693496593
813,888688.5283635654,6283927.661574194
814,888688.5283635654,6284738.629651795
815,888688.5283635654,6285549.597729396
816,888688.5283635654,6286360.565806997
817,888688.5283635654,6287171.533884598
818,888688.5283635654,6287982.501962199
819,888688.5283635654,6288793.4700398
844,889499.4964411663,6260409.587323767
845,889499.4964411663,6261220.555401368
846,889499.4964411663,6262031.523478969
851,889499.4964411663,6266086.363866974
868,889499.4964411663,6279872.82118619
869,889499.4964411663,6280683.7892637905
871,889499.4964411663,6282305.725418992
872,889499.4964411663,6283116.693496593
873,889499.4964411663,6283927.661574194
874,889499.4964411663,6284738.629651795
875,889499.4964411663,6285549.597729396
876,889499.4964411663,6286360.565806997
877,889499.4964411663,6287171.533884598
878,889499.4964411663,6287982.501962199
879,889499.4964411663,6288793.4700398
904,890310.4645187671,6260409.587323767
905,890310.4645187671,6261220.555401368
906,890310.4645187671,6262031.523478969
907,890310.4645187671,6262842.49155657
908,890310.4645187671,6263653.459634171
909,890310.4645187671,6264464.427711772
910,890310.4645187671,6265275.395789373
911,890310.4645187671,6266086.363866974
912,890310.4645187671,6266897.331944575
928,890310.4645187671,6279872.82118619
929,890310.4645187671,6280683.7892637905
930,890310.4645187671,6281494.757341391
931,890310.4645187671,6282305.725418992
932,890310.4645187671,6283116.693496593
933,890310.4645187671,6283927.661574194
934,890310.4645187671,6284738.629651795
935,890310.4645187671,6285549.597729396
936,890310.4645187671,6286360.565806997
937,890310.4645187671,6287171.533884598
938,890310.4645187671,6287982.501962199
939,890310.4645187671,6288793.4700398
965,891121.4325963679,6261220.555401368
966,891121.4325963679,6262031.523478969
967,891121.4325963679,6262842.49155657
968,891121.4325963679,6263653.459634171
969,891121.4325963679,6264464.427711772
970,891121.4325963679,6265275.395789373
971,891121.4325963679,6266086.363866974
972,891121.4325963679,6266897.331944575
973,891121.4325963679,6267708.300022176
986,891121.4325963679,6278250.885030988
987,891121.4325963679,6279061.853108589
988,891121.4325963679,6279872.82118619
989,891121.4325963679,6280683.7892637905
990,891121.4325963679,6281494.757341391
991,891121.4325963679,6282305.725418992
992,891121.4325963679,6283116.693496593
993,891121.4325963679,6283927.661574194
994,891121.4325963679,6284738.629651795
995,891121.4325963679,6285549.597729396
996,891121.4325963679,6286360.565806997
997,891121.4325963679,6287171.533884598
998,891121.4325963679,6287982.501962199
999,891121.4325963679,6288793.4700398
1000,891121.4325963679,6289604.438117401
1015,891121.4325963679,6301768.959281415
1016,891121.4325963679,6302579.927359016
1026,891932.4006739687,6262031.523478969
1027,891932.4006739687,6262842.49155657
1028,891932.4006739687,6263653.459634171
1029,891932.4006739687,6264464.427711772
1030,891932.4006739687,6265275.395789373
1031,891932.4006739687,6266086.363866974
1032,891932.4006739687,6266897.331944575
1033,891932.4006739687,6267708.300022176
1046,891932.4006739687,6278250.885030988
1047,891932.4006739687,6279061.853108589
1048,891932.4006739687,6279872.82118619
1049,891932.4006739687,6280683.7892637905
1050,891932.4006739687,6281494.757341391
1051,891932.4006739687,6282305.725418992
1052,891932.4006739687,6283116.693496593
1053,891932.4006739687,6283927.661574194
1054,891932.4006739687,6284738.629651795
1055,891932.4006739687,6285549.597729396
1056,891932.4006739687,6286360.565806997
1057,891932.4006739687,6287171.533884598
1058,891932.4006739687,6287982.501962199
1059,891932.4006739687,6288793.4700398
1074,891932.4006739687,6300957.991203814
1075,891932.4006739687,6301768.959281415
1076,891932.4006739687,6302579.927359016
1087,892743.3687515695,6262842.49155657
1088,892743.3687515695,6263653.459634171
1089,892743.3687515695,6264464.427711772
1090,892743.3687515695,6265275.395789373
1091,892743.3687515695,6266086.363866974
1092,892743.3687515695,6266897.331944575
1105,892743.3687515695,6277439.916953387
1106,892743.3687515695,6278250.885030988
1107,892743.3687515695,6279061.853108589
1108,892743.3687515695,6279872.82118619
1109,892743.3687515695,6280683.7892637905
1110,892743.3687515695,6281494.757341391
1111,892743.3687515695,6282305.725418992
1112,892743.3687515695,6283116.693496593
1113,892743.3687515695,6283927.661574194
1114,892743.3687515695,6284738.629651795
1115,892743.3687515695,6285549.597729396
1116,892743.3687515695,6286360.565806997
1117,892743.3687515695,6287171.533884598
1118,892743.3687515695,6287982.501962199
1119,892743.3687515695,6288793.4700398
1120,892743.3687515695,6289604.438117401
1126,892743.3687515695,6294470.246583006
1127,892743.3687515695,6295281.214660607
1128,892743.3687515695,6296092.182738208
1133,892743.3687515695,6300147.023126213
1134,892743.3687515695,6300957.991203814
1135,892743.3687515695,6301768.959281415
1136,892743.3687515695,6302579.927359016
1147,893554.3368291704,6262842.49155657
1148,893554.3368291704,6263653.459634171
1149,893554.3368291704,6264464.427711772
1150,893554.3368291704,6265275.395789373
1151,893554.3368291704,6266086.363866974
1152,893554.3368291704,6266897.331944575
1165,893554.3368291704,6277439.916953387
1166,893554.3368291704,6278250.885030988
1167,893554.3368291704,6279061.853108589
1168,893554.3368291704,6279872.82118619
1169,893554.3368291704,6280683.7892637905
1170,893554.3368291704,6281494.757341391
1171,893554.3368291704,6282305.725418992
1172,893554.3368291704,6283116.693496593
1173,893554.3368291704,6283927.661574194
1174,893554.3368291704,6284738.629651795
1175,893554.3368291704,6285549.597729396
1176,893554.3368291704,6286360.565806997
1177,893554.3368291704,6287171.533884598
1178,893554.3368291704,6287982.501962199
1179,893554.3368291704,6288793.4700398
1180,893554.3368291704,6289604.438117401
1185,893554.3368291704,6293659.278505405
1186,893554.3368291704,6294470.246583006
1187,893554.3368291704,6295281.214660607
1188,893554.3368291704,6296092.182738208
1189,893554.3368291704,6296903.150815809
1192,893554.3368291704,6299336.055048612
1193,893554.3368291704,6300147.023126213
1194,893554.3368291704,6300957.991203814
1195,893554.3368291704,6301768.959281415
1196,893554.3368291704,6302579.927359016
1197,893554.3368291704,6303390.895436617
1208,894365.3049067712,6263653.459634171
1209,894365.3049067712,6264464.427711772
1210,894365.3049067712,6265275.395789373
1211,894365.3049067712,6266086.363866974
1212,894365.3049067712,6266897.331944575
1217,894365.3049067712,6270952.172332579
1218,894365.3049067712,6271763.14041018
1220,894365.3049067712,6273385.076565382
