,Node,Comune,f
0,POINT (902649.0876362298 6277356.692829548),el bosque,0.0007473176514722692
1,POINT (909056.6271761607 6289906.0910084685),nunoa,0.003737300915646571
2,POINT (905415.4943084295 6296875.21763583),recoleta,0.0007555407577866506
3,POINT (905483.4232736556 6293325.739205781),recoleta,0.00202548259671052
4,POINT (912699.3039921655 6293495.158905281),las condes,0.0035558220677199925
5,POINT (892564.8896878329 6286773.39260974),maipu,0.000777276122762471
6,POINT (900005.03586794 6274661.5883785505),san bernardo,0.001399478046692421
7,POINT (911207.2433086757 6297002.802162459),vitacura,0.0025269565921416997
8,POINT (910524.8642441947 6272766.251493294),puente alto,0.0014779406403046028
9,POINT (911539.8653234541 6299260.515425997),vitacura,0.0005674925545487043
10,POINT (910868.0212704574 6281056.837346048),la florida,0.0015540360800298041
11,POINT (912180.3902193315 6274828.16627771),puente alto,0.0012434167858048628
12,POINT (902470.3081896487 6268512.628149881),san bernardo,0.00011423463135966151
13,POINT (911232.322757186 6277406.033527416),puente alto,0.0013563990648789313
14,POINT (904486.4045779242 6285522.20639891),san miguel,0.001710800207810631
15,POINT (903969.9062420195 6290748.715902278),santiago,0.0031188662370838292
16,POINT (909579.9791490023 6293050.798542071),providencia,0.004452935122970129
17,POINT (896573.1050320052 6301670.9299084935),quilicura,0.0009062658442581494
18,POINT (908192.1960856981 6292654.8860887885),providencia,0.004077307779714157
19,POINT (899211.3457402593 6294739.273211801),quinta normal,0.0005753833894382005
20,POINT (904233.7618772927 6290626.090407405),santiago,0.0032004340489873483
21,POINT (913235.8134910475 6293014.570531627),las condes,0.002940022390928084
22,POINT (902233.4833723719 6275983.594230656),el bosque,0.0007849116575977713
23,POINT (910874.1821501199 6295945.800505584),vitacura,0.003308654835948671
24,POINT (897849.4089189179 6270340.495950441),san bernardo,0.0005285406225526895
25,POINT (913089.1367645897 6288581.466979554),penalolen,0.0013986687115239104
26,POINT (905035.0795249976 6291180.781980283),santiago,0.0034833199009839397
27,POINT (909943.0475285114 6284461.600678597),macul,0.0012930805288255797
28,POINT (910585.1565171911 6272370.880732829),puente alto,0.0013793952679217723
29,POINT (912131.6623571231 6289678.517692877),la reina,0.002451776463918934
30,POINT (904416.403459922 6292895.7531213425),recoleta,0.0024493773775746495
31,POINT (910791.3916384712 6293895.947758552),las condes,0.004352330513093689
32,POINT (909405.2411883165 6293107.05939183),providencia,0.004438356600852695
33,POINT (911452.9076492798 6289425.768221812),nunoa,0.0026123538650913553
34,POINT (912127.7109513854 6280525.200790893),la florida,0.0015979905790409132
35,POINT (909702.5925874938 6288188.9019129705),nunoa,0.0024019149009551002
36,POINT (902734.6055686874 6302489.887585316),huechuraba,0.00040663795020176146
37,POINT (909605.8794994539 6280605.186127069),la florida,0.0014410722021724052
38,POINT (901535.7738357864 6295896.77108928),renca,0.0005625113960185768
39,POINT (903809.4972733315 6290130.371663232),santiago,0.0026882525284830185
40,POINT (905975.5448183448 6291712.388201506),providencia,0.0032957321537065622
41,POINT (897224.6646253599 6299718.556493746),quilicura,0.0010757041470635838
42,POINT (911803.6171454575 6292780.256453447),las condes,0.003674642636527637
43,POINT (900868.2214285594 6286697.474851866),pedro aguirre cerda,0.0006679902136293974
44,POINT (904069.5224215084 6294554.348573673),independencia,0.001186922328904906
45,POINT (912050.5330466718 6271712.237258611),puente alto,0.0006245714269207107
46,POINT (907296.390397849 6281091.801590006),la granja,0.001107453834106375
47,POINT (915550.6713899872 6297212.074422585),las condes,0.001798924383728457
48,POINT (907400.1662326405 6280048.215216675),la granja,0.0010188584930616849
49,POINT (896046.3691613858 6301645.135145639),quilicura,0.0007958473674774629
50,POINT (911975.6545148315 6296678.948814157),vitacura,0.0031959400573005423
51,POINT (899066.4638423864 6281699.836805837),lo espejo,0.0004872221008488997
52,POINT (908891.2647576563 6282079.577899408),la florida,0.0017880182186357809
53,POINT (907666.1601422124 6283737.044988576),macul,0.001528794803027097
54,POINT (912471.3711417492 6296906.211216366),vitacura,0.0029634037944305802
55,POINT (912853.4552490329 6278666.232885823),puente alto,0.001153136794708155
56,POINT (902780.66575049 6284863.93700638),san miguel,0.0014760265478723892
57,POINT (898940.9901785213 6275007.316407885),san bernardo,0.0014908303708713127
58,POINT (904354.9462743273 6286570.350848947),san miguel,0.0017786897789363102
59,POINT (908833.7172964126 6270184.186145082),puente alto,0.0004921674024625336
60,POINT (908396.466761884 6287192.297937058),macul,0.0018064473249789243
61,POINT (912741.5783149374 6295087.2966385),las condes,0.003984816290166512
62,POINT (916045.795495491 6297067.570338919),las condes,0.0015267740294360988
63,POINT (910459.6588954278 6295789.622228208),vitacura,0.0030688177337790078
64,POINT (902919.0705974934 6299915.636928797),huechuraba,0.0006757328532703325
65,POINT (900733.8118603668 6275028.646425843),san bernardo,0.0012054211744193582
66,POINT (908647.8169331311 6277457.653604995),la florida,0.0009650567525348318
67,POINT (907235.1795277343 6290093.244803349),nunoa,0.0031873213124794103
68,POINT (908213.2967157715 6289614.2062916625),nunoa,0.0034278934444506876
69,POINT (909191.6806055713 6292035.662358476),providencia,0.004348111111494438
70,POINT (891288.3753055006 6279018.605431573),maipu,0.0004180460855208946
71,POINT (908428.8986340032 6288102.56536179),nunoa,0.0023875636602729428
72,POINT (906316.3080675408 6291467.413312178),providencia,0.003351351830687026
73,POINT (912087.72674092 6291255.0606995765),la reina,0.0029231257816541407
74,POINT (891624.2636811831 6283008.050297124),maipu,0.0011491754851640646
75,POINT (908805.2073045315 6293687.627670087),providencia,0.003838865313853163
76,POINT (890895.3326565585 6283393.394576607),maipu,0.0009441607747548285
77,POINT (908365.9046823897 6274760.626946279),puente alto,0.0008732438502695917
78,POINT (904580.0117385727 6283822.026197067),san miguel,0.0014135476891258515
79,POINT (896082.484076264 6292933.076740928),cerro navia,0.0004369345824740503
80,POINT (891900.2830043179 6281861.907506559),maipu,0.0010029009518392798
81,POINT (901056.8014929103 6279360.000018738),el bosque,0.0007171606901734475
82,POINT (908228.0945298278 6293143.498513649),providencia,0.0038346667435083257
83,POINT (906838.1028475496 6287478.180551425),macul,0.0015728839332945156
84,POINT (902955.9280172172 6297160.754891081),conchali,0.0006569816313792264
85,POINT (914425.9955296698 6294608.1253713295),las condes,0.002588417919461833
86,POINT (901444.9400829872 6290257.126060106),estacion central,0.0013490094051554096
87,POINT (898230.0055088724 6272328.056351416),san bernardo,0.0007928197177440124
88,POINT (910912.0146548876 6289585.51015147),nunoa,0.002907242980658626
89,POINT (897981.2300982454 6293180.481862204),cerro navia,0.0006252480166540059
90,POINT (902948.8718273313 6300715.10904897),huechuraba,0.0006810052513806379
91,POINT (908471.8450929167 6288918.9026598735),nunoa,0.0030383580214112475
92,POINT (906621.4807182532 6284982.630938828),san joaquin,0.0012056110311347223
93,POINT (902734.6055686874 6302489.887585316),huechuraba,0.00040663795020176146
94,POINT (912234.5694897337 6297080.949819371),vitacura,0.0027808485771964584
95,POINT (901694.5131285617 6284324.325866617),pedro aguirre cerda,0.0009356649646148218
96,POINT (909099.6985776874 6293686.66148027),providencia,0.004038656077284321
97,POINT (910699.2439100288 6282036.00013589),la florida,0.0014152479908123932
98,POINT (908796.2396637539 6286595.172944756),macul,0.001571664972718055
99,POINT (912520.049046856 6293720.271301596),las condes,0.0037912960050202776
100,POINT (898421.7995024539 6300039.745728975),quilicura,0.0008894004922805052
101,POINT (894047.8833198063 6284605.755941765),maipu,0.0014676847094613917
102,POINT (890872.8380809783 6281571.840994198),maipu,0.0007854778130875165
103,POINT (913259.2710077651 6295009.215469822),las condes,0.0036427920861664977
104,POINT (903809.4972733315 6290130.371663232),santiago,0.0026882525284830185
105,POINT (908213.2967157715 6289614.2062916625),nunoa,0.0034278934444506876
106,POINT (890741.9085969613 6282176.348338962),maipu,0.0008407285831476153
107,POINT (909605.9052404945 6290778.945217812),providencia,0.003888982571874992
108,POINT (906777.9437990402 6292780.800476957),providencia,0.0028576480752523785
109,POINT (909772.0891417157 6284464.479368484),macul,0.0013278163476514748
110,POINT (904039.7844583126 6291222.290510319),santiago,0.0032523742101525383
111,POINT (909092.9290133463 6289616.999388251),nunoa,0.0035841782258329694
112,POINT (904348.0461741022 6292218.899034443),santiago,0.0030209327768312495
113,POINT (909267.7786670993 6289691.174704455),nunoa,0.003602344246606316
114,POINT (903299.4652534571 6282882.28729707),la cisterna,0.0015014621362539828
115,POINT (903927.2148444867 6280326.361914404),la cisterna,0.0009664179687655762
116,POINT (913478.3958090532 6295343.772764286),las condes,0.0034879880305769867
117,POINT (898641.0068318257 6278576.041328689),san bernardo,0.0005206683697010243
118,POINT (896493.8168101427 6286729.511478279),maipu,0.0010136365531102749
119,POINT (913247.9021256579 6295592.414804939),las condes,0.00360192149086351
120,POINT (911537.2699018971 6295558.7805798),las condes,0.004012221313272136
121,POINT (910671.3050478988 6286850.87749894),macul,0.001369994585320869
122,POINT (907649.2376607184 6293133.310914617),providencia,0.003285718268728546
123,POINT (906579.5940660904 6292414.978221785),providencia,0.0030506922705024466
124,POINT (899239.8533484818 6275456.520472152),san bernardo,0.0014658215333781088
125,POINT (906846.2536426254 6271280.078733903),puente alto,0.0005579716018759885
126,POINT (911574.5036072 6297044.309827562),vitacura,0.0026806663754726334
